Participant ID,Group,I understood how the character was feeling.,I knew what the character felt emotionally.,I could identify the feelings the character was having.,The character's feelings transferred to me.,I felt the same way as the character.,I experienced the same emotion as the character.,I had feelings of concern for the character.,I experienced feelings of sympathy towards the character.,I felt a sense of compassion for the character,I felt distressed watching the character in this experience,I lost myself in this experience.,I was so involved in this experience that I lost track of time.,I was absorbed in this experience.,This experience was attractive,This experience was aesthetically appealing.,This experience appealed to my visual senses.,This experience was worthwhile,My experience was rewarding,I felt interested in this experience,How likely are you to participate in an experience like this again?,How immersed did you feel in the VR environment?,To what extent did you feel emotionally connected to the character in the VR experience?,To what extent did you feel physically connected to the character in the VR experience?,I think others would enjoy this experience
N01J,Control,5,4,4,3,2,2,5,5,5,3,5,5,5,5,4,4,4,3,4,4,5,4,3,5
T02J,Test,6,6,6,4,3,3,5,5,5,5,4,4,4,4,4,4,4,5,5,5,3,3,3,4
N03J,Control,4,5,5,3,2,3,4,4,4,1,3,4,5,5,5,5,5,4,5,4,5,4,2,5
T04J,Test,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5
T05J,Test,4,5,5,4,4,5,5,6,6,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5
T06J,Test,4,3,4,4,4,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,5
N07J,Control,4,5,5,3,2,2,5,5,5,3,4,3,5,4,2,5,3,2,3,4,5,5,3,4
T08J,Test,4,5,5,3,2,2,5,4,4,1,3,2,4,4,3,3,4,4,4,5,4,3,4,4
T09J,Test,4,4,4,2,3,4,4,4,4,1,4,3,4,4,5,4,5,4,5,5,5,3,4,5
N10J,Control,6,6,6,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5
N11J,Control,5,4,4,6,5,5,4,6,5,6,4,4,4,5,4,4,3,4,4,4,5,4,4,3
N12J,Control,6,6,6,6,6,6,6,6,6,6,2,3,3,4,4,4,4,5,5,5,4,5,4,4
T13J,Test,5,5,5,5,4,4,4,5,5,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4
N14J,Control,4,5,5,3,4,4,2,4,5,3,4,4,3,5,4,4,4,3,4,5,4,4,2,4
N15J,Control,5,6,6,3,4,6,4,6,6,3,2,2,4,4,5,5,5,4,4,4,4,5,3,5
T16J,Test,5,4,4,5,5,3,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
T17J,Test,5,6,6,6,6,4,6,5,5,6,4,3,5,5,4,5,5,5,5,5,4,4,5,5
T18J,Test,6,6,6,2,1,2,6,6,6,5,2,2,2,4,5,5,5,4,5,4,3,4,2,4
N01E,Control,0,3,3,0,0,0,0,0,0,0,1,1,1,1,1,1,4,3,5,3,2,1,1,1
N19J,Control,6,6,6,6,5,5,6,6,6,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5
T20J,Test,5,6,6,4,3,3,5,6,6,3,2,2,3,4,5,5,5,3,5,5,3,3,3,4
N21J,Control,5,5,6,2,2,2,4,6,6,4,3,4,4,2,5,4,3,3,4,2,2,4,1,3
T22J,Test,5,5,5,4,3,4,5,5,5,5,2,1,4,4,5,5,4,3,4,4,4,4,4,5
N23J,Control,6,5,6,3,4,4,4,4,4,3,4,5,5,5,5,5,5,3,4,5,4,4,5,5
T24J,Test,4,4,4,1,0,1,2,5,5,0,1,1,3,4,3,4,4,3,5,4,4,3,2,4
N25J,Control,4,4,4,4,2,2,4,5,5,2,3,2,4,4,4,4,4,4,4,4,4,3,3,3
T26J,Test,5,6,6,5,3,3,6,6,6,6,4,4,5,5,5,5,5,5,5,5,5,4,1,5
T27J,Test,5,5,6,5,3,4,5,6,6,3,3,4,4,4,4,4,4,4,4,5,4,4,4,4
N02E,Control,6,3,6,1,0,0,4,0,0,1,4,4,4,5,5,5,5,5,5,5,5,1,2,5
N28J,Control,4,6,4,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,4,4,4,2,5
T29J,Test,5,5,5,3,1,1,4,4,4,0,4,3,5,5,5,5,4,4,5,5,5,2,1,5
N30J,Control,3,3,4,1,1,0,3,6,5,5,3,3,5,5,5,5,5,4,5,5,5,2,1,5
T31J,Test,4,4,5,4,4,3,5,4,4,5,2,2,4,4,4,4,5,4,5,4,4,4,1,5
N32J,Control,6,6,6,2,1,2,3,5,4,3,4,3,4,5,5,5,5,3,4,5,5,4,2,5
T33J,Test,5,6,6,3,2,2,5,6,6,1,2,1,4,5,5,4,4,4,4,4,3,4,2,5
N34J,Control,3,4,4,1,1,1,4,4,4,2,2,5,4,5,5,5,5,5,5,5,5,2,2,5
T35J,Test,5,5,5,3,2,2,6,6,6,5,2,3,2,3,3,3,4,2,4,3,2,4,1,3
N36J,Control,6,6,6,4,3,2,6,6,6,5,3,2,4,4,5,5,5,4,4,3,4,5,3,4
T37J,Test,3,4,3,2,1,2,5,5,5,1,1,1,4,3,4,3,2,3,4,5,2,3,4,4
N38J,Control,5,6,5,4,4,6,5,6,6,6,4,5,5,5,5,5,4,4,5,5,5,4,5,4
T39J,Test,4,4,4,5,5,4,4,4,4,5,2,3,4,4,2,2,4,4,4,3,2,3,4,4
N40J,Control,6,6,6,5,5,5,5,5,6,5,3,4,4,4,4,4,5,5,4,5,2,4,5,5
T41J,Test,6,6,6,6,4,5,6,6,6,3,4,4,5,4,5,5,4,4,5,5,4,4,4,5
N42J,Control,5,5,5,3,2,2,5,5,5,3,2,2,2,4,4,4,4,4,4,4,3,4,2,4
T43J,Test,6,5,6,3,2,1,5,5,5,0,1,1,5,5,5,5,5,5,5,5,5,2,4,4
N44J,Control,5,5,5,3,1,2,4,5,4,2,4,4,5,5,4,4,4,2,5,5,4,4,4,2
T45J,Test,5,5,5,4,2,2,3,4,4,2,2,2,3,4,4,4,4,3,4,4,4,3,2,4
N46J,Control,6,6,6,4,2,2,3,5,5,0,4,5,5,5,5,5,5,3,4,4,4,4,3,4
T47J,Test,3,6,4,3,3,3,5,5,6,4,5,5,5,4,4,5,5,5,5,5,4,3,4,5
N48J,Control,5,5,5,4,4,4,6,6,6,5,4,4,4,5,5,5,5,5,5,5,4,4,4,5
T49J,Test,6,4,5,5,4,4,6,5,6,4,4,4,4,5,5,5,5,4,5,5,4,4,4,5
N50J,Control,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,4,4,5
