Timestamp,What is your given Participant ID, [I understood how the character was feeling.], [I knew what the character felt emotionally.], [I could identify the feelings the character was having.], [The character's feelings transferred to me.], [I felt the same way as the character.], [I experienced the same emotion as the character.], [I had feelings of concern for the character.], [I experienced feelings of sympathy towards the character.], [I felt a sense of compassion for the character], [I felt distressed watching the character in this experience], [I lost myself in this experience.], [I was so involved in this experience that I lost track of time.], [I was absorbed in this experience.], [This experience was attractive], [This experience was aesthetically appealing.], [This experience appealed to my visual senses.], [This experience was worthwhile], [My experience was rewarding], [I felt interested in this experience],How likely are you to participate in an experience like this again?,How immersed did you feel in the VR environment?,To what extent did you feel emotionally connected to the character in the VR experience?,To what extent did you feel physically connected to the character in the VR experience?,I think others would enjoy this experience
11/17/2025 11:54:58,N01J,5,4,4,3                             Somewhat,2,2,5,5,5,3                             Somewhat,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,4                             Agree,4                             Agree,3                           Neither agree nor disagree,4                             Agree,4,5,4,3,5
11/17/2025 15:15:35,T02J,6                            Entirely,6                            Entirely,6                            Entirely,4,3                             Somewhat,3                             Somewhat,5,5,5,5,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5,3,3,3,4
11/17/2025 15:56:16,N03J,4,5,5,3                             Somewhat,2,3                             Somewhat,4,4,4,1,3                           Neither agree nor disagree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,5                             Strongly Agree,4,5,4,2,5
11/17/2025 17:09:24,T04J,5,5,4,5,5,5,5,5,5,1,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,5,5,4,5
11/17/2025 18:47:01,T05J,4,5,5,4,4,5,5,6                            Entirely,6                            Entirely,4,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,5,4,4,5
11/17/2025 19:25:05,T06J,4,3                             Somewhat,4,4,4,3                             Somewhat,4,4,4,4,4                             Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,5,4,4,5
11/18/2025 11:43:28,N07J,4,5,5,3                             Somewhat,2,2,5,5,5,3                             Somewhat,4                             Agree,3                           Neither agree nor disagree,5                             Strongly Agree,4                             Agree,2                           Disagree,5                             Strongly Agree,3                           Neither agree nor disagree,2                           Disagree,3                           Neither agree nor disagree,4,5,5,3,4
11/18/2025 13:39:50,T08J,4,5,5,3                             Somewhat,2,2,5,4,4,1,3                           Neither agree nor disagree,2                           Disagree,4                             Agree,4                             Agree,3                           Neither agree nor disagree,3                           Neither agree nor disagree,4                             Agree,4                             Agree,4                             Agree,5,4,3,4,4
11/18/2025 14:41:31,T09J,4,4,4,2,3                             Somewhat,4,4,4,4,1,4                             Agree,3                           Neither agree nor disagree,4                             Agree,4                             Agree,5                             Strongly Agree,4                             Agree,5                             Strongly Agree,4                             Agree,5                             Strongly Agree,5,5,3,4,5
11/18/2025 15:40:05,N10J,6                            Entirely,6                            Entirely,6                            Entirely,5,5,5,6                            Entirely,6                            Entirely,6                            Entirely,5,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,5,5,3,5
11/18/2025 16:55:12,N11J,5,4,4,6                            Entirely,5,5,4,6                            Entirely,5,6                            Entirely,4                             Agree,4                             Agree,4                             Agree,5                             Strongly Agree,4                             Agree,4                             Agree,3                           Neither agree nor disagree,4                             Agree,4                             Agree,4,5,4,4,3
11/18/2025 17:15:12,n12J,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,2                           Disagree,3                           Neither agree nor disagree,3                           Neither agree nor disagree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5,4,5,4,4
11/18/2025 17:32:28,T13J,5,5,5,5,4,4,4,5,5,4,2                           Disagree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4,4,4,4,4
11/18/2025 17:52:12,N14J,4,5,5,3                             Somewhat,4,4,2,4,5,3                             Somewhat,4                             Agree,4                             Agree,3                           Neither agree nor disagree,5                             Strongly Agree,4                             Agree,4                             Agree,4                             Agree,3                           Neither agree nor disagree,4                             Agree,5,4,4,2,4
11/19/2025 11:28:31,N15J,5,6                            Entirely,6                            Entirely,3                             Somewhat,4,6                            Entirely,4,6                            Entirely,6                            Entirely,3                             Somewhat,2                           Disagree,2                           Disagree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,4                             Agree,4,4,5,3,5
11/19/2025 12:11:48,T16J,5,4,4,5,5,3                             Somewhat,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,5,5,5,5
11/19/2025 12:51:25,T17J,5,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,4,6                            Entirely,5,5,6                            Entirely,4                             Agree,3                           Neither agree nor disagree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,4,4,5,5
11/19/2025 13:15:24,T18J,6                            Entirely,6                            Entirely,6                            Entirely,2,1,2,6                            Entirely,6                            Entirely,6                            Entirely,5,2                           Disagree,2                           Disagree,2                           Disagree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,5                             Strongly Agree,4,3,4,2,4
11/19/2025 13:20:01,N01E,0                           Not at all,3                             Somewhat,3                             Somewhat,0                           Not at all,0                           Not at all,0                           Not at all,0                           Not at all,0                           Not at all,0                           Not at all,0                           Not at all,1                           Strongly Disagree,1                           Strongly Disagree,1                           Strongly Disagree,1                           Strongly Disagree,1                           Strongly Disagree,1                           Strongly Disagree,4                             Agree,3                           Neither agree nor disagree,5                             Strongly Agree,3,2,1,1,1
11/19/2025 15:00:17,N19J,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,5,5,6                            Entirely,6                            Entirely,6                            Entirely,4,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,5                             Strongly Agree,5,5,5,5,5
11/19/2025 16:40:58,T20J,5,6                            Entirely,6                            Entirely,4,3                             Somewhat,3                             Somewhat,5,6                            Entirely,6                            Entirely,3                             Somewhat,2                           Disagree,2                           Disagree,3                           Neither agree nor disagree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,3                           Neither agree nor disagree,5                             Strongly Agree,5,3,3,3,4
11/19/2025 17:30:42,N21J,5,5,6                            Entirely,2,2,2,4,6                            Entirely,6                            Entirely,4,3                           Neither agree nor disagree,4                             Agree,4                             Agree,2                           Disagree,5                             Strongly Agree,4                             Agree,3                           Neither agree nor disagree,3                           Neither agree nor disagree,4                             Agree,2,2,4,1,3
11/19/2025 18:14:11,T22J,5,5,5,4,3                             Somewhat,4,5,5,5,5,2                           Disagree,1                           Strongly Disagree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,3                           Neither agree nor disagree,4                             Agree,4,4,4,4,5
11/19/2025 19:46:47,N23J,6                            Entirely,5,6                            Entirely,3                             Somewhat,4,4,4,4,4,3                             Somewhat,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,3                           Neither agree nor disagree,4                             Agree,5,4,4,5,5
11/20/2025 9:53:37,T24J,4,4,4,1,0                           Not at all,1,2,5,5,0                           Not at all,1                           Strongly Disagree,1                           Strongly Disagree,3                           Neither agree nor disagree,4                             Agree,3                           Neither agree nor disagree,4                             Agree,4                             Agree,3                           Neither agree nor disagree,5                             Strongly Agree,4,4,3,2,4
11/20/2025 11:21:29,N25J,4,4,4,4,2,2,4,5,5,2,3                           Neither agree nor disagree,2                           Disagree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4,4,3,3,3
11/20/2025 11:58:11,T26J,5,6                            Entirely,6                            Entirely,5,3                             Somewhat,3                             Somewhat,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,5,4,1,5
11/20/2025 12:33:27,T27J,5,5,6                            Entirely,5,3                             Somewhat,4,5,6                            Entirely,6                            Entirely,3                             Somewhat,3                           Neither agree nor disagree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,5,4,4,4,4
11/20/2025 12:40:12,N02E,6                            Entirely,3                             Somewhat,6                            Entirely,1,0                           Not at all,0                           Not at all,4,0                           Not at all,0                           Not at all,1,4                             Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,5,1,2,5
11/20/2025 13:38:39,N28J,4,6                            Entirely,4,5,5,5,5,5,5,5,4                             Agree,4                             Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,4,4,4,2,5
11/20/2025 14:10:24,T29J,5,5,5,3                             Somewhat,1,1,4,4,4,0                           Not at all,4                             Agree,3                           Neither agree nor disagree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5,5,2,1,5
11/20/2025 14:59:36,N30J,3                             Somewhat,3                             Somewhat,4,1,1,0                           Not at all,3                             Somewhat,6                            Entirely,5,5,3                           Neither agree nor disagree,3                           Neither agree nor disagree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,5                             Strongly Agree,5,5,2,1,5
11/20/2025 16:11:32,T31J,4,4,5,4,4,3                             Somewhat,5,4,4,5,2                           Disagree,2                           Disagree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,5                             Strongly Agree,4                             Agree,5                             Strongly Agree,4,4,4,1,5
11/20/2025 17:35:45,N32J,6                            Entirely,6                            Entirely,6                            Entirely,2,1,2,3                             Somewhat,5,4,3                             Somewhat,4                             Agree,3                           Neither agree nor disagree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,3                           Neither agree nor disagree,4                             Agree,5,5,4,2,5
11/20/2025 18:13:11,T33J,5,6                            Entirely,6                            Entirely,3                             Somewhat,2,2,5,6                            Entirely,6                            Entirely,1,2                           Disagree,1                           Strongly Disagree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4,3,4,2,5
11/20/2025 20:56:31,N34J,3                             Somewhat,4,4,1,1,1,4,4,4,2,2                           Disagree,5                             Strongly Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,5,2,2,5
11/21/2025 13:18:40,T35J,5,5,5,3                             Somewhat,2,2,6                            Entirely,6                            Entirely,6                            Entirely,5,2                           Disagree,3                           Neither agree nor disagree,2                           Disagree,3                           Neither agree nor disagree,3                           Neither agree nor disagree,3                           Neither agree nor disagree,4                             Agree,2                           Disagree,4                             Agree,3,2,4,1,3
11/21/2025 14:24:10,N36J,6                            Entirely,6                            Entirely,6                            Entirely,4,3                             Somewhat,2,6                            Entirely,6                            Entirely,6                            Entirely,5,3                           Neither agree nor disagree,2                           Disagree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,4                             Agree,3,4,5,3,4
11/21/2025 15:13:06,T37J,3                             Somewhat,4,3                             Somewhat,2,1,2,5,5,5,1,1                           Strongly Disagree,1                           Strongly Disagree,4                             Agree,3                           Neither agree nor disagree,4                             Agree,3                           Neither agree nor disagree,2                           Disagree,3                           Neither agree nor disagree,4                             Agree,5,2,3,4,4
11/21/2025 16:52:47,N38J,5,6                            Entirely,5,4,4,6                            Entirely,5,6                            Entirely,6                            Entirely,6                            Entirely,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5,5,4,5,4
11/21/2025 17:20:52,T39J,4,4,4,5,5,4,4,4,4,5,2                           Disagree,3                           Neither agree nor disagree,4                             Agree,4                             Agree,2                           Disagree,2                           Disagree,4                             Agree,4                             Agree,4                             Agree,3,2,3,4,4
11/21/2025 18:06:44,N40J,6                            Entirely,6                            Entirely,6                            Entirely,5,5,5,5,5,6                            Entirely,5,3                           Neither agree nor disagree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,5,2,4,5,5
11/24/2025 10:59:37,T41J,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,4,5,6                            Entirely,6                            Entirely,6                            Entirely,3                             Somewhat,4                             Agree,4                             Agree,5                             Strongly Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5,4,4,4,5
11/24/2025 13:21:32,N42J,5,5,5,3                             Somewhat,2,2,5,5,5,3                             Somewhat,2                           Disagree,2                           Disagree,2                           Disagree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4,3,4,2,4
11/24/2025 13:49:10,T43J,6                            Entirely,5,6                            Entirely,3                             Somewhat,2,1,5,5,5,0                           Not at all,1                           Strongly Disagree,1                           Strongly Disagree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,5,2,4,4
11/24/2025 14:14:17,N44J,5,5,5,3                             Somewhat,1,2,4,5,4,2,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,4                             Agree,4                             Agree,2                           Disagree,5                             Strongly Agree,5,4,4,4,2
11/24/2025 14:54:20,T45J,5,5,5,4,2,2,3                             Somewhat,4,4,2,2                           Disagree,2                           Disagree,3                           Neither agree nor disagree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,3                           Neither agree nor disagree,4                             Agree,4,4,3,2,4
11/24/2025 16:01:15,N46J,6                            Entirely,6                            Entirely,6                            Entirely,4,2,2,3                             Somewhat,5,5,0                           Not at all,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,3                           Neither agree nor disagree,4                             Agree,4,4,4,3,4
11/24/2025 16:31:14,T47J,3                             Somewhat,6                            Entirely,4,3                             Somewhat,3                             Somewhat,3                             Somewhat,5,5,6                            Entirely,4,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,4,3,4,5
11/25/2025 11:49:31,N48J,5,5,5,4,4,4,6                            Entirely,6                            Entirely,6                            Entirely,5,4                             Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,4,4,4,5
11/25/2025 14:15:52,T49J,6                            Entirely,4,5,5,4,4,6                            Entirely,5,6                            Entirely,4,4                             Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,5                             Strongly Agree,5,4,4,4,5
11/25/2025 16:01:15,N50J,4,4,4,4,4,4,4,4,4,4,4                             Agree,3                           Neither agree nor disagree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,5,4,4,4,5